sep=;
"Time";"measurement.Radon";"measurement.Pressure"
"2020-05-18T15:10:00+01:00";1121.393999999999;102.1522999999983
"2020-05-18T15:20:00+01:00";1125.722999999999;102.11704999999832
"2020-05-18T15:30:00+01:00";1134.399249999999;102.08689999999831
"2020-05-18T15:40:00+01:00";1152.640249999999;102.0593999999983
"2020-05-18T15:50:00+01:00";1178.077749999999;102.03802499999831
"2020-05-18T16:00:00+01:00";1208.426749999999;102.01872499999831
"2020-05-18T16:10:00+01:00";1250.6507499999989;101.99469999999832
"2020-05-18T16:20:00+01:00";1301.687749999999;101.97964999999832
"2020-05-18T16:30:00+01:00";1355.412249999999;101.94744999999833
"2020-05-18T16:40:00+01:00";1401.5932499999992;101.93829999999832
"2020-05-18T16:50:00+01:00";1439.6107499999991;101.93274999999832
"2020-05-18T17:00:00+01:00";1467.138249999999;101.92749999999832
"2020-05-18T17:10:00+01:00";1487.044249999999;101.92342499999832
"2020-05-18T17:20:00+01:00";1489.517749999999;101.91992499999832
"2020-05-18T17:30:00+01:00";1491.5707499999992;101.91622499999832
"2020-05-18T17:40:00+01:00";1481.6452499999991;101.91197499999831
"2020-05-18T17:50:00+01:00";1472.626999999999;101.90824999999832
"2020-05-18T18:00:00+01:00";1467.4099999999992;101.90417499999832
"2020-05-18T18:10:00+01:00";1461.5174999999992;101.90154999999831
"2020-05-18T18:20:00+01:00";1452.442999999999;101.89839999999832
"2020-05-18T18:30:00+01:00";1443.6549999999993;101.89527499999832
"2020-05-18T18:40:00+01:00";1438.4194999999993;101.89252499999832
"2020-05-18T18:50:00+01:00";1432.0559999999991;101.88849999999833
"2020-05-18T19:00:00+01:00";1417.8109999999992;101.88489999999832
"2020-05-18T19:10:00+01:00";1393.5664999999995;101.88192499999832
"2020-05-18T19:20:00+01:00";1357.7134999999994;101.87832499999831
"2020-05-18T19:30:00+01:00";1306.1357499999995;101.8760999999983
"2020-05-18T19:40:00+01:00";1245.6412499999994;101.8734499999983
"2020-05-18T19:50:00+01:00";1172.9307499999995;101.8717499999983
"2020-05-18T20:00:00+01:00";1103.2967499999997;101.87017499999831
"2020-05-18T20:10:00+01:00";1031.6647499999997;101.86922499999831
"2020-05-18T20:20:00+01:00";968.8942499999997;101.8683499999983
"2020-05-18T20:30:00+01:00";913.0982499999998;101.86684999999831
"2020-05-18T20:40:00+01:00";870.3507499999998;101.86547499999831
"2020-05-18T20:50:00+01:00";830.0767499999998;101.86502499999831
"2020-05-18T21:00:00+01:00";793.8167499999997;101.8648999999983
"2020-05-18T21:10:00+01:00";756.5484999999998;101.86547499999831
"2020-05-18T21:20:00+01:00";718.4847499999998;101.8665749999983
"2020-05-18T21:30:00+01:00";685.0829999999999;101.86667499999831
"2020-05-18T21:40:00+01:00";657.8512499999999;101.8678249999983
"2020-05-18T21:50:00+01:00";632.8207499999999;101.86959999999831
"2020-05-18T22:00:00+01:00";606.9389999999999;101.87142499999831
"2020-05-18T22:10:00+01:00";581.54775;101.8738749999983
"2020-05-18T22:20:00+01:00";559.1995;101.8773499999983
"2020-05-18T22:30:00+01:00";539.2562499999999;101.87992499999831
"2020-05-18T22:40:00+01:00";523.86425;101.88319999999831
